CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
6/22/2021,09:34:55,FB,BLOCK,161,2.08,A,CALL,337.5,334.325,33488,6/25/2021,WHITE,0.28,3,F,STOCK,Communication Services,F,T,9.42E+11,4986
6/22/2021,09:34:58,TSM,SWEEP,245,1.7,A,CALL,112,112.9,41650,6/25/2021,YELLOW,0.29,3,F,STOCK,Information Technology,F,T,5.79E+11,57
6/22/2021,09:34:58,PTON,BLOCK,190,0.6,A,CALL,115,108.9,11400,6/25/2021,WHITE,0.64,3,F,STOCK,Consumer Discretionary,F,T,32248000000,1863
6/22/2021,09:35:00,WISH,BLOCK,508,0.8,A,CALL,15,13.37,40640,6/25/2021,WHITE,2.88,3,F,STOCK,Consumer Discretionary,F,T,7916000000,20624
6/22/2021,09:35:03,AMC,SWEEP,170,3,A,CALL,86,52.7287,51005,07-02-2021,WHITE,3.07,10,F,STOCK,Communication Services,F,F,27959000000,264
6/22/2021,09:35:06,AMD,SWEEP,234,0.626,AA,CALL,85,83.3743,14660,6/25/2021,WHITE,0.42,3,F,STOCK,Information Technology,F,T,1.00E+11,19658
6/22/2021,09:35:08,FB,BLOCK,109,6.25,A,CALL,330,334.49,68126,6/25/2021,WHITE,0.29,3,F,STOCK,Communication Services,F,T,9.42E+11,2525
6/22/2021,09:35:09,TSLA,BLOCK,101,7.649,A,CALL,630,621.42,77256,6/25/2021,WHITE,0.5,3,F,STOCK,Consumer Discretionary,F,T,5.98E+11,5976
6/22/2021,09:35:09,AAPL,SWEEP,171,1.019,AA,CALL,133,132.62,17433,6/25/2021,WHITE,0.25,3,F,STOCK,Information Technology,F,T,2.21E+12,35850
6/22/2021,09:35:09,AAPL,SWEEP,361,0.61,A,CALL,134,132.62,22021,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,24679
6/22/2021,09:35:11,FB,SWEEP,200,0.58,A,CALL,345,334.51,11600,6/25/2021,WHITE,0.3,3,F,STOCK,Communication Services,F,T,9.42E+11,4381
6/22/2021,09:35:12,AMC,SWEEP,161,1.211,AA,CALL,145,52.88,19498,07-02-2021,WHITE,3.79,10,F,STOCK,Communication Services,F,F,27959000000,21063
6/22/2021,09:35:13,MU,SWEEP,601,0.51,A,CALL,80,78.151,30651,6/25/2021,WHITE,0.42,3,F,STOCK,Information Technology,F,T,86427000000,4485
6/22/2021,09:35:17,FGEN,SWEEP,187,2,A,CALL,35,27.46,37400,8/20/2021,YELLOW,0.97,59,F,STOCK,Health Care,F,F,2563000000,5
6/22/2021,09:35:21,AAPL,SWEEP,188,0.62,A,CALL,134,132.65,11656,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,24679
6/22/2021,09:35:23,FUBO,SWEEP,202,1.999,A,CALL,33,33.56,40377,6/25/2021,MAGENTA,1.41,3,F,STOCK,Information Technology,F,T,4441000000,4884
6/22/2021,09:35:31,AAPL,SWEEP,204,1.03,A,CALL,133,132.69,21012,6/25/2021,WHITE,0.24,3,F,STOCK,Information Technology,F,T,2.21E+12,35850
6/22/2021,09:35:35,ZM,SWEEP,100,2.4,A,CALL,385,372.6799,24000,6/25/2021,WHITE,0.5,3,F,STOCK,Information Technology,F,T,1.09E+11,1676
6/22/2021,09:35:39,AAPL,SWEEP,250,2.97,A,CALL,131,132.73,74250,07-02-2021,WHITE,0.22,10,F,STOCK,Information Technology,F,F,2.21E+12,14277
